h1,h2,h3,h4,max_iter,learning_rate_init,s1,s2,s3,m1,m2,m3,m4,m5,m6,m7,m8,m9,y
7,4,4,0,111,0.0034300910289988096,0,0,0,845,18,2.876146788990826,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.21687225734571502
13,5,5,3,1116,0.0031308588308288647,1,0,1,988,13,9.977777777777778,0.013157894736842105,0.7692307692307693,0.0,14.0,1.0,0.0,0.2860807042352323
16,6,1,0,1448,0.00821377363522854,1,0,1,305,3,2.8125,0.009836065573770493,0.0,0.0,53.0,11.0,0.6666666666666666,0.41410992639062816
13,6,4,0,242,0.012555417603646346,1,1,0,845,18,2.876146788990826,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.9565060900129646
16,2,2,1,446,0.0009280295214191812,1,0,0,213,9,6.607142857142857,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.4303030303030303
16,1,0,0,327,0.0001355554305079034,0,0,1,845,18,2.876146788990826,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.0
14,4,5,0,177,0.012490204394563366,0,0,1,219,7,1.881578947368421,0.0319634703196347,1.0,0.0,0.94,0.0,0.5714285714285714,0.9904761904761905
18,3,0,0,2425,0.00120669980600585,0,1,0,351,33,1.7857142857142858,0.09401709401709402,0.9696969696969697,0.0,2.0,1.0,0.0,0.9330412608009531
13,2,5,0,403,0.031001660743990397,0,1,0,947,8,30.566666666666666,0.008447729672650475,1.0,0.0,1.0,0.5,0.5,0.12851768458579604
13,2,2,0,8348,0.00856374959961342,0,1,0,267,44,3.8545454545454545,0.1647940074906367,0.0,0.0,77.0,41.0,1.0,0.0
12,3,3,0,2160,0.0006309166173793087,1,1,0,192,9,10.294117647058824,0.046875,1.0,0.0,10.760000000000002,0.02262053999999991,0.5555555555555556,0.12454545454545456
13,3,2,0,1787,0.00048466267722636067,0,1,0,345,6,1.3793103448275863,0.017391304347826087,1.0,0.0,292.0,20.0,0.8333333333333334,0.0
19,1,1,1,1155,0.00020740948068636135,0,1,0,213,9,11.529411764705882,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.1431491384432561
9,1,3,1,365,0.00038720911776721515,1,0,0,845,18,2.876146788990826,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.5932215342277262
18,2,4,1,1511,0.06565166351462579,0,0,0,845,18,3.2676767676767677,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.0
12,2,1,0,999,0.0008080654695560704,0,1,0,845,18,2.876146788990826,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.24121322514765134
